leiden,0
0,0.55
1,0.316
2,0.492
3,0.303
4,0.371
5,0.484
6,0.853
7,0.32
8,0.395
9,0.838
10,0.758
11,0.384
12,0.296
13,0.272
14,0.27
15,0.312
16,0.558
17,0.325
18,0.393
19,0.41
20,0.797
