leiden,GC,GS
0,4198,313
1,1138,2933
2,270,3490
3,1934,3162
4,194,321
5,34,1538
6,890,2654
7,674,20
8,1605,161
9,948,4
10,13,2503
11,172,491
12,347,365
13,4241,20
14,107,586
15,264,581
16,116,521
17,23,1517
18,88,175
19,55,2795
20,3179,40
21,9529,83
22,1100,1
23,17,1428
24,2401,58
25,19,5204
26,104,2189
27,10,209
