cell_type,GC,GS
Astrocyte,0.3346302346302346,0.06573346921647383
Endothelial,0.005761805761805762,0.009621725316228043
Microglia_Myeloid,0.05743985743985744,0.09477849049817157
Neuron,0.16982476982476982,0.11725915712487261
Oligodendrocyte,0.026433026433026433,0.07955158563635274
Pericyte_Mural,0.0026136026136026136,0.005245488879563575
T_NK_cell,0.010305910305910305,0.010940591091661171
Tumor_glioma,0.392990792990793,0.6168694922366764
