cell_type,GC,GS
Endothelial,0.009375,0.013635784376194724
Microglia_Myeloid,0.10838341346153846,0.10956416464891042
Neuron_Excitatory,0.008052884615384615,0.0600547980119791
Neuron_Inhibitory,0.006670673076923077,0.015674780170765897
Oligodendrocyte,0.029086538461538462,0.07872435325602141
Proliferating,0.024278846153846154,0.021282018605836627
T_NK_cell,0.010967548076923076,0.011756085128074424
Tumor_glioma,0.8031850961538461,0.6893080158022175
