leiden,Oligodendrocyte,OPC,Astrocyte,Neuron,Microglia_Myeloid,T_NK_cell,B_Plasma,Endothelial,Pericyte_Mural,Proliferating,Tumor_glioma,assigned
0,0.00031230675529738197,-0.06701235356909081,0.14999653895012444,0.19721619034788987,-0.05898008674859781,-0.005737229858122184,-0.0008439330959816884,-0.07141060550461445,0.007894947414250163,-0.030147513415784727,0.3350887897792199,Tumor_glioma
1,0.025599861693908516,-0.01325046362689874,0.13683774891194828,0.2518931280706633,-0.07959500793367492,-0.006861939768460808,-0.00040529276554935695,-0.11676357490511947,0.01633558740619193,-0.053821521624587226,0.29713517159795383,Tumor_glioma
2,0.49156565336478153,0.11827525651996018,0.12462534932682277,0.15026191057421517,0.0005749451120392532,0.004349456648545183,-3.970207633278896e-05,-0.02663637262117778,-0.004464685474061054,0.06481599616708485,0.4926103565306246,Tumor_glioma
3,0.0059745151367348445,-0.22272596913512183,0.23769492949513416,-0.08067670103566721,0.3801995349167628,-0.005753478085029158,0.0007399411430101878,0.12131591001269178,-0.018971345057027272,-0.02732015109402169,0.0709918113932983,Microglia_Myeloid
4,-0.040366248220478115,-0.2213349685381917,-0.09286262704361604,-0.010734839789513577,-0.07384751170881908,-0.00936178593695081,-0.0014053686216811145,1.1333143747161507,0.004223496746032556,-0.06127390007448042,0.14329967653517325,Endothelial
5,-0.03252703331390843,0.11949011158007904,-0.1460972523785072,0.29496112577302463,-0.09346553265685517,-0.009763846393572147,-0.0009247196369043744,-0.16366359883946216,-0.022872049651030242,0.0010165966181455773,0.5345335028980424,Tumor_glioma
6,1.3655979772931874,-0.10650659886619217,0.003141779153686973,-0.10033881484666435,-0.06699577421168576,-0.006445108394175656,-0.0003917365953427136,-0.1580085151513059,0.025995169832633495,-0.08196945761360558,0.023005880871870357,Oligodendrocyte
7,0.05927521692764224,-0.20916977297126044,-0.1679110428602162,0.010399560867046907,-0.0992712979960363,-0.005650475881865964,-0.001032455505429267,-0.1715224015045693,0.01955960892351025,0.04704362613724242,0.2310087749170944,Tumor_glioma
8,-0.14944490602185784,-0.05365788277604527,0.2757503923263222,0.15436714444517646,0.15505826128694045,0.012585057009290556,0.0004756359766680774,-0.018466581896976867,-0.03193342746690294,0.02823599956808742,0.18162070635812033,Astrocyte
9,-0.12438725895058063,-0.12480872463328498,-0.2642951119355127,0.49500850344484165,-0.10966562951553842,-0.0059757890921084585,-0.0014505109270246757,-0.15694127617951703,-0.02813856358573571,-0.04620060749957207,0.3068845054976969,Neuron
10,-0.029943749291610373,-0.22336580185540847,0.11051976390755487,0.07432081140674246,-0.10590136478634524,-0.009740337030253518,-0.0007252812618513113,-0.13414185606839485,-0.0023269491490126868,-0.07740980536566881,0.33239122246217656,Tumor_glioma
11,-0.17976120214584546,-0.32270099050531803,-0.26019872150072326,0.8788040768126685,-0.10822278799450209,-0.01651047849196226,-0.0020712167496594906,-0.16916125447007507,-0.024844095577608777,-0.102273253327701,-0.07409986489810436,Neuron
12,0.08157484808722047,-0.11486916176120887,-0.0625153688219156,0.017235181830954974,0.19219457027473955,0.4282900998202029,0.015431517030806578,-0.06860285339674699,-0.013236370138741965,-0.013722716749049305,0.14911686123593174,T_NK_cell
13,-0.3190012721683096,-0.23013251982969568,0.34022348904958455,0.089060937213303,-0.09819832193146855,-0.01623516909944064,-6.588883829128013e-05,-0.17558619728271535,0.020980776079451494,0.049798941509382154,0.48169399696741927,Tumor_glioma
14,-0.21477629275839002,-0.30886564897842966,0.06811962111894186,0.08012213361467241,-0.08145256489804051,-0.01399561867770121,-0.00038615596730185,-0.15684116554351998,0.027156504695151767,-0.04266837154804026,0.38960027769626054,Tumor_glioma
15,-0.14461445922899932,-0.321609316518556,-0.2768510323988145,1.0207007237773775,-0.11016404428607009,-0.01695967307753145,-0.0029601645810599393,-0.15339349618818635,-0.023359927863628963,-0.10183459062689156,-0.16456935284289775,Neuron
16,-0.13937107713261535,-0.24774928440229235,0.8300933124385287,-0.06609814384967977,-0.10050110031160758,-0.01481032323144856,-0.0011522754831878009,-0.12197704923739301,0.08297539194574283,-0.07899076470712416,0.278671558008505,Astrocyte
17,0.3426532420427326,0.19105989051768274,0.27293686000320305,0.36277867622021626,0.02084868144767846,-0.0007535610184967333,0.002560556743826185,-0.02658029472053825,-0.01635705790666087,0.10237305376901255,0.37923701317864233,Tumor_glioma
18,-0.016867717147197234,-0.11821117034263634,0.14263179313335733,0.030851016679967893,-0.056746923102431165,-0.01381111417325234,0.0008872663989870872,0.019944910708489076,0.5410674791051828,-0.01996258157589892,0.15553287401610302,Pericyte_Mural
19,0.03470757079977738,-0.08806478691156844,0.2395282132892999,0.7874686785776335,0.056499923684632865,-0.006648956943414763,0.000587204933166504,-0.01337231768125679,0.0008918367119602715,0.09036118828790231,0.4489864678733298,Neuron
20,-0.227966953788506,0.18697056244857022,0.16313110927095123,0.46884003864462365,-0.046952897980038794,-0.005439164912960414,-5.8636068587990985e-05,-0.11352953757535626,-0.025601294623802232,0.08050717873233587,0.3616129984756733,Neuron
21,-0.2161096615107981,-0.06871646825515094,0.3796857248734115,0.2375217117476134,-0.027151558550679186,-0.003987149778404562,-2.438379981048495e-05,-0.0773577814808929,-0.014324957354199834,0.002528711970007226,0.23857512041212986,Astrocyte
22,-0.25990972637632126,-0.3171346313912617,-0.20494499703818583,0.6830734705919419,-0.09515468938512778,-0.016744374787898725,-0.0013165779246224298,-0.15747903885676795,-0.024721829792161785,-0.004532377729984691,0.28833557247073704,Neuron
23,-0.08891865953112144,-0.13515885273816264,0.6520784285580548,0.22754492764230183,-0.10687076660270332,-0.01395253864688405,-0.0005656761511249388,-0.15503031193330077,-0.0021314641916532285,-0.07287373922715412,0.28387212837179643,Astrocyte
