leiden,cell_type,n_cells
0,Tumor_glioma,3099
1,Tumor_glioma,753
2,Tumor_glioma,6712
3,Tumor_glioma,9548
4,Oligodendrocyte,62
5,Tumor_glioma,4220
6,Tumor_glioma,7429
7,Endothelial,740
8,Oligodendrocyte,3377
9,Tumor_glioma,840
10,Tumor_glioma,2106
11,Tumor_glioma,3607
12,Microglia_Myeloid,6317
13,T_NK_cell,734
14,Proliferating,1476
15,Tumor_glioma,2913
16,Tumor_glioma,7139
17,Neuron_Inhibitory,714
18,Neuron_Excitatory,797
19,Microglia_Myeloid,729
20,Neuron_Excitatory,1356
