group,names,scores,logfoldchanges,pvals,pvals_adj
0,TEX41,65.56687,4.078043,0.0,0.0
0,AC078923.1,58.006268,3.5060542,0.0,0.0
0,BRD9,56.040882,2.6716425,0.0,0.0
0,NAV3,55.747063,2.2760406,0.0,0.0
0,AL110292.1,54.315357,2.6330872,0.0,0.0
0,MDM2,53.61709,2.0957978,0.0,0.0
0,LRRTM4,49.76242,1.947771,0.0,0.0
0,KCNC2,41.24902,2.358388,0.0,0.0
0,DGKB,39.20553,1.7182434,0.0,0.0
0,LINC02408,36.906338,2.6545837,3.6567822331519523e-298,6.853825677769299e-295
0,TERT,36.700134,2.182738,7.2670953604181985e-295,1.2903684009180464e-291
0,CSMD3,36.100784,1.599651,2.204695665031147e-285,3.718990882557791e-282
0,ZFPM2,35.904152,1.345005,2.6313559675053202e-282,4.2273360131298556e-279
0,TSPAN31,35.585068,1.4179418,2.384528870062003e-277,3.4976891517079036e-274
0,MDGA2,35.206383,1.4457988,1.5967970538611362e-271,2.1548456882445262e-268
0,AC004852.2,34.64475,1.9871604,5.3589059909013854e-263,6.953592746732308e-260
0,TSFM,33.5581,1.3579544,6.858725320732198e-247,8.264029148055079e-244
0,ERBB3,33.392555,2.4114718,1.7583328408182143e-244,2.0455474155408307e-241
0,AGMO,33.13703,1.9561484,8.708035543518685e-241,9.180718597865309e-238
0,NTM,33.036213,1.2446063,2.4544120938505413e-239,2.5092272972798703e-236
0,KCND2,32.38299,1.5870202,4.764204049268717e-230,4.592284343147963e-227
0,SNHG14,31.351295,0.87188643,9.341430178533492e-216,8.080816152132933e-213
0,LHFPL3,31.173744,1.1457373,2.4183595576444748e-213,2.0397049099062917e-210
0,DGKI,29.004435,1.2509208,5.7847288026020365e-185,3.4849892073818735e-182
0,IMMP2L,28.764671,0.75584,5.9368479681442636e-182,3.3947701678183555e-179
0,BBS10,28.509712,2.7604895,8.878485015239698e-179,4.9922241493190276e-176
0,CADM2,28.130142,0.7893947,4.193229046170981e-174,2.176414897394929e-171
0,LRP1B,27.698093,0.73498327,7.361307089596562e-169,3.54783453259599e-166
0,DLGAP1,27.617785,1.0009953,6.805331694254807e-168,3.188770491237144e-165
0,EEF1AKMT3,27.518879,1.3842068,1.0437510532475667e-166,4.758517470731508e-164
0,PPP1R9A,27.327705,0.9850769,1.9880731563279342e-164,8.825213694083623e-162
0,AC107032.2,27.245045,2.616615,1.9024618486864276e-163,8.22863530629923e-161
0,BMPER,26.902187,1.429816,2.0705621676867337e-159,8.731819481405916e-157
0,VWC2,26.781979,1.9744246,5.2400487316017726e-158,2.182512642691963e-155
0,NXPH1,26.491526,1.1728419,1.2136144271176556e-154,4.9329770997190775e-152
0,NRXN3,26.461077,1.1099819,2.7207895807246874e-154,1.0927533105346284e-151
0,DCLK2,26.410736,0.9312843,1.0315199823810419e-153,4.012876982344575e-151
