group,names,scores,logfoldchanges,pvals,pvals_adj
10,RAB21,63.627697,3.222263,0.0,0.0
10,LRRTM4,61.418224,3.0312588,0.0,0.0
10,MDM2,60.0856,2.8200533,0.0,0.0
11,CNTNAP2,43.34043,6.3987045,0.0,0.0
11,SNHG14,42.461952,3.591323,0.0,0.0
11,ATP8A2,42.18181,6.0764956,0.0,0.0
11,GRIP1,40.95744,5.4276867,0.0,0.0
11,FRMPD4,40.432,5.8802643,0.0,0.0
11,NRG3,40.20903,4.4206076,0.0,0.0
11,NRXN3,40.015602,4.220312,0.0,0.0
11,CACNA1B,40.007492,5.7654114,0.0,0.0
11,RBFOX1,39.902256,5.012905,0.0,0.0
11,HCN1,39.47343,5.646035,0.0,0.0
12,PTPRC,39.947517,5.3828444,0.0,0.0
12,SKAP1,39.536476,8.711323,0.0,0.0
12,ARHGAP15,39.27018,5.378197,0.0,0.0
12,PARP8,38.5139,4.793294,0.0,0.0
12,MBNL1,38.24225,3.0860827,0.0,0.0
12,PRKCH,36.07786,5.2961845,5.045130676213627e-285,2.836792893723652e-281
12,IKZF1,34.70525,5.589032,6.564987586133702e-264,3.1640426599056105e-260
12,PIP4K2A,34.626442,3.6340237,1.0109265034309957e-262,4.2632034307814375e-259
12,CCND3,33.571453,4.5453544,4.379593437135635e-247,1.6417149309849435e-243
12,THEMIS,33.5291,8.603247,1.8160806764697968e-246,6.126911378206154e-243
13,NBAS,100.553444,4.1467085,0.0,0.0
13,CPSF6,96.660355,5.057382,0.0,0.0
13,DDX1,95.89539,4.410407,0.0,0.0
13,TNRC6B,95.11296,3.666256,0.0,0.0
13,NUP107,94.7594,4.373758,0.0,0.0
13,FRS2,93.793816,4.3878937,0.0,0.0
13,CCT2,92.35427,4.556645,0.0,0.0
13,CTDSP2,89.46385,3.718978,0.0,0.0
13,OS9,87.54615,3.64842,0.0,0.0
13,YEATS4,87.52017,3.834389,0.0,0.0
14,VEGFA,39.746346,4.3687196,0.0,0.0
14,FRS2,36.83549,4.177162,4.993041725577936e-297,8.422512434791141e-293
14,AKAP12,36.308266,4.7997737,1.1981943627805843e-288,1.3474494405709524e-284
